analysis.program,analysis.school_college,analysis.department
Aerospace Engineering,COE,Department of Aerospace Engineering
Biomedical Engineering,COE,Biomedical Engineering (BME) Department
Chemical Engineering,COE,Department of Chemical Engineering
Civil Engineering,COE,Department of Civil & Environmental Engineering
Climate and Space Sciences and Engineering,COE,Department of Climate and Space Sciences and Engineering
Computer Science and Engineering,COE,Department of Electrical Engineering and Computer Science
Design Science,COE,Integrative Systems + Design (ISD)
Electrical and Computer Engineering,COE,Department of Electrical Engineering and Computer Science
Engineering Education Research,COE,
Environmental Engineering,COE,Department of Civil & Environmental Engineering
Industrial and Operations Engineering,COE,Department of Industrial and Operations Engineering
Macromolecular Science and Engineering,COE,
Materials Science and Engineering,COE,Department of Materials Science and Engineering
Mechanical Engineering,COE,Department of Mechanical Engineering
Naval Architecture and Marine Engineering,COE,Department of Naval Architecture and Marine Engineering
Nuclear Engineering and Radiological Science,COE,Department of Nuclear Engineering and Radiological Sciences
Robotics,COE,Department of Robotics
Scientific Computing,COE,Michigan Institute for Computational Discovery and Engineering
Clinical Pharmacy Translational Sciences,College of Pharmacy,Department of Clinical Pharmacy
Medicinal Chemistry,College of Pharmacy,Interdepartmental Program in Medicinal Chemistry
Pharmaceutical Sciences,College of Pharmacy,Department of Pharmaceutical Sciences
Survey and Data Science,ISR,Institute for Social Research (ISR)
American Culture,LSA,Department of American Culture
Ancient History,LSA,Interdepartmental Program in Ancient History
Ancient Mediterranean Art and Archaeology,LSA,
Anthropology,LSA,Department of Anthropology
Anthropology and History,LSA,Department of History
Applied Physics,LSA,
Applied and Interdisciplinary Mathematics,LSA,Department of Mathematics
Asian Languages and Cultures,LSA,Department of Asian Languages and Cultures (ALC)
Astronomy and Astrophysics,LSA,Department of Astronomy
Biophysics,LSA,Department of Biophysics
Chemistry,LSA,Department of Chemistry
Classical Studies,LSA,Department of Classical Studies
Communication and Media,LSA,Department of Communication and Media
Comparative Literature,LSA,Department of Comparative Literature
Earth and Environmental Sciences,LSA,Department of Geological Sciences
Ecology and Evolutionary Biology,LSA,Department of Ecology and Evolutionary Biology
Economics,LSA,Department of Economics
English Language and Literature,LSA,Department of English Language and Literature
English and Women's and Gender Studies,LSA,Women's and Gender Studies
"Film, Television, and Media",LSA,"Department of Film, Television, and Digital Media"
Germanic Languages and Literatures,LSA,Department of Germanic Languages and Literatures
History,LSA,Department of History
History and Women's and Gender Studies,LSA,Women's and Gender Studies
History of Art,LSA,Department of the History of Art
Linguistics,LSA,Department of Linguistics
Mathematics,LSA,Department of Mathematics
Middle East Studies,LSA,Department of Middle East Studies
"Molecular, Cellular and Developmental Biology",LSA,"Department of Molecular, Cellular and Developmental Biology"
Philosophy,LSA,Department of Philosophy
Physics,LSA,Department of Physics
